Full Name,File,Path,Fi,a,b,c,d,e,Group,Class
JBR06141_L0_1.png,JBR06141,D:\Kallik\output_png,PNG File,32587,6/22/17 4:15,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06143_L0_3.png,JBR06143,D:\Kallik\output_png,,32587,6/22/17 4:23,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06139_L0_1.png,JBR06139,D:\Kallik\output_png,,32587,6/22/17 4:06,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06024_L0_18.png,JBR06024,D:\Kallik\output_png,,32587,6/22/17 3:47,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06025_L0_18.png,JBR06025,D:\Kallik\output_png,,32587,6/22/17 3:57,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06145_L0_1.png,JBR06145,D:\Kallik\output_png,,32587,6/22/17 4:31,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06855_L0_10_1.png,JBR06855,D:\Kallik\output_png,,32095,6/22/17 9:05,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR06856_L0_7_1.png,JBR06856,D:\Kallik\output_png,,32095,6/22/17 9:48,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR06854_L0_7_1.png,JBR06854,D:\Kallik\output_png,,32095,6/22/17 6:50,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR06147_L0_3.png,JBR06147,D:\Kallik\output_png,,32587,6/22/17 4:40,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06149_L0_3.png,JBR06149,D:\Kallik\output_png,,32587,6/22/17 4:48,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04896_L0_1.png,JBR04896,D:\Kallik\output_png,,32587,6/22/17 2:46,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04897_L0_1.png,JBR04897,D:\Kallik\output_png,,32587,6/22/17 2:53,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04894_L0_1.png,JBR04894,D:\Kallik\output_png,,32587,6/22/17 2:39,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04756_L0_18.png,JBR04756,D:\Kallik\output_png,,32587,6/22/17 2:12,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04891_L0_1.png,JBR04891,D:\Kallik\output_png,,32587,6/22/17 2:32,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04898_L0_1.png,JBR04898,D:\Kallik\output_png,,32568,6/22/17 3:00,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04912_L0_5.png,JBR04912,D:\Kallik\output_png,,32568,6/22/17 3:29,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR05987_L0_20.png,JBR05987,D:\Kallik\output_png,,32587,6/22/17 3:36,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04911_L0_1.png,JBR04911,D:\Kallik\output_png,,32587,6/22/17 3:22,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04908_L0_1.png,JBR04908,D:\Kallik\output_png,,32587,6/22/17 3:07,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04910_L0_1.png,JBR04910,D:\Kallik\output_png,,32587,6/22/17 3:15,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06857_L0_11.png,JBR06857,D:\Kallik\output_png,,32095,6/22/17 10:00,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR07143_L0_13.png,JBR07143,D:\Kallik\output_png,,32568,6/22/17 14:48,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07144_L0_13.png,JBR07144,D:\Kallik\output_png,,32586,6/22/17 14:55,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07142_L0_13.png,JBR07142,D:\Kallik\output_png,,32587,6/22/17 14:45,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07140_L0_13.png,JBR07140,D:\Kallik\output_png,,32587,6/22/17 14:37,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07141_L0_13.png,JBR07141,D:\Kallik\output_png,,32587,6/22/17 14:41,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07147_L0_13.png,JBR07147,D:\Kallik\output_png,,32587,6/22/17 14:59,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07344_L0_12.png,JBR07344,D:\Kallik\output_png,,32095,6/22/17 16:46,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR07346_L0_11.png,JBR07346,D:\Kallik\output_png,,32095,6/22/17 16:54,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR07343_L0_8.png,JBR07343,D:\Kallik\output_png,,32095,6/22/17 16:39,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR07149_L0_13.png,JBR07149,D:\Kallik\output_png,,32587,6/22/17 15:02,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07281_L0_15.png,JBR07281,D:\Kallik\output_png,,32095,6/22/17 16:34,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR07066_L0_17.png,JBR07066,D:\Kallik\output_png,,32587,6/22/17 11:00,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07067_L0_17.png,JBR07067,D:\Kallik\output_png,,32587,6/22/17 11:23,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06995_L0_19.png,JBR06995,D:\Kallik\output_png,,32587,6/22/17 10:37,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR06882_L0_27.png,JBR06882,D:\Kallik\output_png,,32095,6/22/17 10:10,12:00:00 AM,"{Width=552, Height=466}","{Width=96, Height=96}",A1,
JBR06994_L0_17.png,JBR06994,D:\Kallik\output_png,,32587,6/22/17 10:24,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07068_L0_17.png,JBR07068,D:\Kallik\output_png,,32587,6/22/17 11:45,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07136_L0_14.png,JBR07136,D:\Kallik\output_png,,32568,6/22/17 12:55,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07138_L0_9.png,JBR07138,D:\Kallik\output_png,,32587,6/22/17 12:59,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07135_L0_13.png,JBR07135,D:\Kallik\output_png,,32568,6/22/17 12:50,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07069_L0_17.png,JBR07069,D:\Kallik\output_png,,32587,6/22/17 12:06,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR07070_L0_17.png,JBR07070,D:\Kallik\output_png,,32587,6/22/17 12:27,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
JBR04321_L0_8.png,JBR04321,D:\Kallik\output_png,,32587,6/21/17 19:12,12:00:00 AM,"{Width=552, Height=470}","{Width=96, Height=96}",A1,
